5,77.5122,5.16613
10,76.0976,6.36992
15,75.3659,5.5951
20,75.9512,5.55659
25,76.0976,5.05484
30,75.3415,3.85474
35,76.0244,4.85139
40,77.9512,4.30514
45,78.0732,5.65423
50,77.6829,4.81076
55,77.5122,4.12678
60,77.8293,4.89351
65,81.5366,4.36783
70,78,4.64338
75,77.9024,4.94755
80,79.6098,7.28472
5,82.8333,9.22707
50,81.8333,10.399
50,84.1667,8.896
50,84,12.9872
20,765.5,0.957427
20,78.3333,8.35996
20,83.3333,12.8409
20,86.8333,12.2122
20,86.1667,12.9024
20,80.8333,5.45945
20,85.1667,11.3051
20,82,7.16473
20,89.1667,14.9601
20,76.4545,6.51381
20,75.5854,5.00232
5,77.6341,3.91841
10,76,6.03647
15,76.561,6.04878
20,75.0732,4.91583
25,77.3659,3.64763
30,76.9756,4.31383
35,79.4634,4.2432
40,77.8293,4.85348
45,78,4.83382
50,77.8049,5.07129
55,78.4634,6.24343
60,77.8537,5.42155
65,77.8293,4.17251
70,78.8537,7.34701
75,78.2195,5.0919
80,78.4878,4.56456
